CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,Average Grade,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
30425,SPAN,228,Spanish Composition,2B,ONL,120155,"Fernandez Cuenc, Sara A",3.33,2,8,6,8,2,0,2,2,2,0,0,0,0,0
35405,SPAN,252,Intro to Hispanic Linguistics,2SM,ONL,120155,"Perez Nunez, Antonio B",3.06,4,6,4,10,4,2,6,2,0,4,0,0,0,0
38030,SPAN,395,"Culture, Hist, & Film in Cuba",C,LCD,120155,"Eguez Guevara, Pilar A",,,,,,,,,,,,,,,
31389,SPED,117,The Culture of Disability,A,ONL,120155,"Bentz, Johnell L",3.39,0,28,0,0,10,0,0,2,2,0,0,0,2,0
36271,SPED,322,Intro Intellectual Disability,A,ONL,120155,"Bassette, Laura A",3.33,0,54,0,0,12,0,0,2,0,0,4,0,6,4
31198,SPED,424,Formal Assessment in SPED,A,LCD,120155,"Lee, Suzanne",,,,,,,,,,,,,,,
31216,SPED,517,Disability Issues in SPED,A,LCD,120155,"Light Shriner, Cheryl L",,,,,,,,,,,,,,,
37515,SPED,526,Collaborative Leaders in SPED,AC,LCD,120155,"Carey, Yvonne A",3.92,8,14,2,2,0,0,0,0,0,0,0,0,0,0
30403,SPED,538,Interdisciplinary Teaming,A,LCD,120155,"Talbott, Susan J",,,,,,,,,,,,,,,
30451,STAT,100,Statistics,E1,LCD,120155,"Banerjee, Sourabh",3.35,4,8,2,4,10,4,2,0,0,0,0,0,0,0
30452,STAT,100,Statistics,K1,LCD,120155,"Zhu, Xiaolu",3.53,4,6,6,2,0,6,0,0,0,0,0,0,0,0
36918,STAT,100,Statistics,ONL,ONL,120155,"Yu, Albert",3.48,0,100,14,6,38,6,0,4,4,0,4,0,2,0
30460,STAT,400,Statistics and Probability I,AL1,LEC,120155,"Stepanov, Alexey G",3.35,22,40,18,14,20,8,4,6,2,0,2,0,4,0
