CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,Average Grade,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
36524,MUS,432,Piano Pedagogy II,A,LCD,120101,"Tsitsaros, Christos",,,,,,,,,,,,,,,
36531,MUS,442,Band Arranging,A,LBD,120101,"Lawrence, Lucinda J",,,,,,,,,,,,,,,
49686,MUS,443,Orchestral Repertory,A,LCD,120101,"McGovern, Timothy S",,,,,,,,,,,,,,,
48902,MUS,448,Computer Music,A,LCD,120101,"Tipei, Sever",,,,,,,,,,,,,,,
36554,MUS,450,Advanced Ensemble Music,A10,PR,120101,"Yeung, Ann M",,,,,,,,,,,,,,,
36539,MUS,450,Advanced Ensemble Music,A3,PR,120101,"Ganatra, Simin",,,,,,,,,,,,,,,
36542,MUS,450,Advanced Ensemble Music,A4,PR,120101,"Bernhardsson, Sigurbjorn",,,,,,,,,,,,,,,
36543,MUS,450,Advanced Ensemble Music,A5,PR,120101,"Kouzov, Dmitry",,,,,,,,,,,,,,,
36549,MUS,450,Advanced Ensemble Music,A7,PR,120101,"Haken, Rudolf",,,,,,,,,,,,,,,
36552,MUS,450,Advanced Ensemble Music,A9,PR,120101,"Cameron, Michael J",,,,,,,,,,,,,,,
36555,MUS,450,Advanced Ensemble Music,B,PR,120101,"Schleis, Thomas",,,,,,,,,,,,,,,
36557,MUS,450,Advanced Ensemble Music,B1,PR,120101,"Diazmunoz, Eduardo",,,,,,,,,,,,,,,
36559,MUS,450,Advanced Ensemble Music,CDH,PR,120101,"Helmrich, Dennis",,,,,,,,,,,,,,,
43936,MUS,450,Advanced Ensemble Music,CJG,PR,120101,"Gunn, Julie J",,,,,,,,,,,,,,,
36560,MUS,450,Advanced Ensemble Music,D,PR,120101,"Taylor, Stephen A",,,,,,,,,,,,,,,
36563,MUS,450,Advanced Ensemble Music,F,PR,120101,"Stoltzfus, Fred A",,,,,,,,,,,,,,,
36564,MUS,450,Advanced Ensemble Music,F1,PR,120101,"Stoltzfus, Fred A",,,,,,,,,,,,,,,
36644,MUS,450,Advanced Ensemble Music,F3,PR,120101,"Coleman, Barrington L",,,,,,,,,,,,,,,
51108,MUS,450,Advanced Ensemble Music,F5,PR,120101,"Davis, Ollie W",,,,,,,,,,,,,,,
51111,MUS,450,Advanced Ensemble Music,F7,PR,120101,"Stoltzfus, Fred A",,,,,,,,,,,,,,,
36566,MUS,450,Advanced Ensemble Music,G1,PR,120101,"Ehlen, Timothy J",,,,,,,,,,,,,,,
36570,MUS,450,Advanced Ensemble Music,G3,PR,120101,"Hobson, Ian R",,,,,,,,,,,,,,,
36571,MUS,450,Advanced Ensemble Music,G4,PR,120101,"Heiles, William H",,,,,,,,,,,,,,,
36646,MUS,450,Advanced Ensemble Music,G5,PR,120101,"Alexander, Charles R",,,,,,,,,,,,,,,
51475,MUS,450,Advanced Ensemble Music,G7,PR,120101,"Gunn, Julie J",,,,,,,,,,,,,,,
36585,MUS,450,Advanced Ensemble Music,H10,PR,120101,"Moore, Mark E",,,,,,,,,,,,,,,
